postDate,craigId,area,price,title,longitude,beds,latitude,link,numPic,updateDate,date,size,contentLen,reposts
"2015-11-28T16:13:02-0500,2015-11-28T16:13:02-0500",5335938678, (Crown Heights),875,Furnished Rooms Available,,,,/brk/roo/5335938678.html,0,"2015-11-28T16:13:02-0500,2015-11-28T16:13:02-0500",Nov 28,,6,0
"2015-11-15T13:09:28-0500,2015-11-15T13:09:28-0500,2015-11-28T16:34:07-0500",5317081592,,,"$600好区,全包Nice Room for Rent $600(dyker heihgts br",-73.996,,40.6336,/brk/roo/5317081592.html,0,"2015-11-15T13:09:28-0500,2015-11-15T13:09:28-0500,2015-11-28T16:34:07-0500",Nov 28,,3,0
"2015-11-26T12:13:28-0500,2015-11-26T12:13:28-0500,2015-11-28T14:27:08-0500",5333093615, (25mins to Union Square via 4 Train),,I am willing to be fl FREE TODAY AT 530PM UNTIL TONIGHT,,,,/brk/roo/5333093615.html,0,"2015-11-26T12:13:28-0500,2015-11-26T12:13:28-0500,2015-11-28T14:27:08-0500",Nov 28,,35,0
"2015-11-28T21:35:20-0500,2015-11-28T21:35:20-0500",5336329440, (BEDSTUY),640,BRAND NEW LARGE ROOM***2BATHS*****LAUNDRY & MORE* A MUST SEE,-73.911374,,40.68098,/brk/roo/5336329440.html,7,"2015-11-28T21:35:20-0500,2015-11-28T21:35:20-0500",Nov 28,,20,0
"2015-11-24T22:57:18-0500,2015-11-24T22:57:18-0500,2015-11-28T21:49:02-0500",5331318586, (Greenpoint),1299,15 - 20 minutes commute to Downtown Manhattan,,,,/brk/roo/5331318586.html,7,"2015-11-24T22:57:18-0500,2015-11-24T22:57:18-0500,2015-11-28T21:49:02-0500",Nov 28,,18,0
"2015-11-26T12:14:18-0500,2015-11-26T12:14:18-0500,2015-11-28T14:27:16-0500",5333094445, (25mins to Union Square via 4 Train),,I am willing to be fl FREE TODAY AT 530PM UNTIL TONIGHT,,,,/brk/roo/5333094445.html,0,"2015-11-26T12:14:18-0500,2015-11-26T12:14:18-0500,2015-11-28T14:27:16-0500",Nov 28,,35,0
"2015-11-28T21:54:11-0500,2015-11-28T21:54:11-0500,2015-11-28T21:55:54-0500",5336346587, (Canarsie),470,furnished room available,-73.9028,,40.6407,/brk/roo/5336346587.html,0,"2015-11-28T21:54:11-0500,2015-11-28T21:54:11-0500,2015-11-28T21:55:54-0500",Nov 28,,11,0
"2015-11-22T22:32:42-0500,2015-11-22T22:32:42-0500,2015-11-28T21:49:18-0500",5328207219, (Bushwick),850,Fantastic Apartment Share Nearby Northern Lights Records,-73.9274,,40.6907,/brk/roo/5328207219.html,11,"2015-11-22T22:32:42-0500,2015-11-22T22:32:42-0500,2015-11-28T21:49:18-0500",Nov 28,,12,0
"2015-11-24T22:24:34-0500,2015-11-24T22:24:34-0500,2015-11-28T21:49:28-0500",5331291532, (Bushwick),899,1 room left -900 - 12/1,-73.9274,,40.6907,/brk/roo/5331291532.html,22,"2015-11-24T22:24:34-0500,2015-11-24T22:24:34-0500,2015-11-28T21:49:28-0500",Nov 28,,18,0
"2015-11-24T22:05:51-0500,2015-11-24T22:05:51-0500,2015-11-28T21:49:41-0500",5331275538, (Bushwick),899,The Elegant Townhouse on Bushwick Avenue,-73.9274,,40.6907,/brk/roo/5331275538.html,19,"2015-11-24T22:05:51-0500,2015-11-24T22:05:51-0500,2015-11-28T21:49:41-0500",Nov 28,,18,0
"2015-11-24T22:05:18-0500,2015-11-24T22:05:18-0500,2015-11-28T21:50:13-0500",5331275063, (Bushwick),898,"Lots of Interest, Dec.1 - Ready - Brand New",-73.9274,,40.6907,/brk/roo/5331275063.html,21,"2015-11-24T22:05:18-0500,2015-11-24T22:05:18-0500,2015-11-28T21:50:13-0500",Nov 28,,18,0
